property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,malibu towne,sector 47,2.4,10000.0,3,3,0,0.0,Moderately Old,2992.86,2667.0,2400.03,0,0,0,0,0,1,22,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3,3,3,2.0,Relatively New,1650.0,1524.0,1399.95,1,1,0,0,0,1,136,"28.4030° N, 77.0690° E",28.403,77.069
flat,puri diplomatic greens,sector 111,2.25,13235.0,3,3,2,12.0,Relatively New,1700.05,1539.0,1385.0,0,0,0,0,0,0,101,"28.5238° N, 77.0320° E",28.5238,77.032
flat,signature andour heights,sector 71,0.6,10000.0,2,2,1,5.0,Relatively New,599.98,557.0,513.98,0,0,0,1,0,0,59,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,bestech park view residency,sector 2,1.4,7865.0,3,3,3+,8.0,Moderately Old,1780.03,1611.0,1450.0,0,0,0,0,0,0,92,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 50,7.0,23333.0,4,4,2,3.0,Old Property,3777.65,3399.99,3000.01,0,1,0,0,0,0,118,"28.4178° N, 77.0628° E",28.4178,77.0628
house,independent,sector 17,0.32,22068.0,2,2,0,3.0,Moderately Old,160.0,144.99,130.0,0,0,0,0,0,0,0,"28.4791° N, 77.0608° E",28.4791,77.0608
flat,shree vardhman victoria,sector 70,1.1,8461.0,2,2,2,0.0,New Property,1299.96,1026.0,788.03,1,0,0,0,0,0,49,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,ansal heights 86,sector 86,0.87,5367.0,2,2,1,12.0,New Property,1360.02,1231.0,1108.0,0,0,0,0,1,1,45,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,gls avenue 51,sector 92,0.42,7106.0,2,2,1,4.0,Relatively New,737.16,657.0,591.05,1,0,0,1,0,1,42,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,9.0,Relatively New,1749.99,1584.0,1426.0,0,0,0,0,0,0,95,"28.5073° N, 77.0089° E",28.5073,77.0089
house,independent,sector 8,0.49,11250.0,6,3,2,3.0,Moderately Old,398.0,360.05,324.0,0,0,0,0,0,0,8,"28.3738° N, 76.8970° E",28.3738,76.897
flat,sapphire eighty three,sector 83,0.65,9286.0,1,1,0,6.0,Relatively New,773.0,699.98,630.0,0,0,0,0,0,0,0,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,antriksh heights,sector 84,0.6,5000.0,2,2,2,14.0,Relatively New,1199.96,1086.0,977.0,0,0,0,0,0,0,52,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,dlf park place,sector 54,4.85,30180.0,3,4,3+,6.0,Moderately Old,1983.03,1784.98,1607.05,0,1,0,0,0,2,158,"28.4348° N, 77.1089° E",28.4348,77.1089
house,independent,sector 7,2.25,15625.0,3,3,2,2.0,Old Property,1591.0,1439.99,1296.0,0,0,0,0,0,1,27,"28.4644° N, 77.0143° E",28.4644,77.0143
